epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,330.834,1.72906,1.47668,1.36295,0.82407,0.74613,0.84793,0.45044,1.6025,1.02075,1.29659,0.00333085,0.00333085,0.00333085
2,645.118,1.70315,1.09737,1.30518,0.81211,0.75424,0.83858,0.41737,1.70259,1.02182,1.37167,0.00644426,0.00644426,0.00644426
3,957.557,1.74703,1.16682,1.34475,0.79898,0.71665,0.80941,0.40364,1.70795,1.09812,1.41666,0.00933768,0.00933768,0.00933768
4,1267.29,1.75568,1.15814,1.37619,0.84303,0.7874,0.87061,0.44476,1.69358,0.95218,1.40538,0.00901,0.00901,0.00901
5,1585.02,1.70829,1.0575,1.34852,0.85393,0.80558,0.89123,0.47068,1.62614,0.88359,1.37509,0.00868,0.00868,0.00868
6,1900.15,1.66855,0.99145,1.32702,0.86112,0.82203,0.90564,0.48879,1.59146,0.84707,1.31279,0.00835,0.00835,0.00835
7,2210.34,1.64058,0.94396,1.31353,0.86825,0.84984,0.92096,0.50053,1.57586,0.81199,1.332,0.00802,0.00802,0.00802
8,2528.06,1.61634,0.90449,1.30408,0.90505,0.86394,0.94149,0.52217,1.57035,0.75131,1.32229,0.00769,0.00769,0.00769
9,2843.23,1.59877,0.86125,1.29207,0.90197,0.86957,0.94215,0.52871,1.52989,0.74372,1.31241,0.00736,0.00736,0.00736
10,3154.77,1.58041,0.8321,1.28539,0.90773,0.90052,0.94988,0.53803,1.53539,0.69628,1.32064,0.00703,0.00703,0.00703
11,3464.38,1.55873,0.81688,1.27114,0.92765,0.88946,0.95533,0.54808,1.5094,0.68612,1.29764,0.0067,0.0067,0.0067
12,3775.91,1.54091,0.78936,1.25608,0.93428,0.90614,0.95994,0.55118,1.51201,0.65298,1.30505,0.00637,0.00637,0.00637
13,4090.55,1.53723,0.77771,1.25989,0.93615,0.91294,0.96532,0.56419,1.47961,0.64239,1.27986,0.00604,0.00604,0.00604
14,4400.49,1.52751,0.74502,1.24467,0.94629,0.92831,0.97046,0.57065,1.48951,0.61485,1.28684,0.00571,0.00571,0.00571
15,4712.36,1.51173,0.73446,1.24034,0.94353,0.92962,0.96777,0.57875,1.46429,0.60178,1.26825,0.00538,0.00538,0.00538
16,5026.56,1.49532,0.71731,1.23192,0.95128,0.93957,0.97487,0.58431,1.46413,0.5859,1.27035,0.00505,0.00505,0.00505
17,5341.82,1.48645,0.7031,1.23039,0.95306,0.94473,0.97817,0.58919,1.45065,0.56184,1.2527,0.00472,0.00472,0.00472
18,5653.5,1.46849,0.67578,1.21698,0.94834,0.95364,0.98064,0.59461,1.44615,0.54983,1.24742,0.00439,0.00439,0.00439
19,5966.17,1.46338,0.66734,1.21396,0.96115,0.9392,0.98156,0.60212,1.43034,0.53564,1.25039,0.00406,0.00406,0.00406
20,6281.66,1.45189,0.65495,1.20535,0.96195,0.95025,0.98153,0.60304,1.43179,0.52648,1.23954,0.00373,0.00373,0.00373
21,6626.7,1.42663,0.5768,1.23973,0.95815,0.96242,0.98527,0.60906,1.42265,0.51632,1.23943,0.0034,0.0034,0.0034
22,6939.83,1.41129,0.55679,1.23747,0.96132,0.95763,0.98594,0.61683,1.403,0.50166,1.23625,0.00307,0.00307,0.00307
23,7255.21,1.39583,0.54234,1.23441,0.96362,0.97089,0.98809,0.61962,1.40178,0.49913,1.2395,0.00274,0.00274,0.00274
24,7566.54,1.37649,0.52761,1.21958,0.96965,0.96542,0.98774,0.62519,1.39761,0.4895,1.23428,0.00241,0.00241,0.00241
25,7876.39,1.3618,0.51247,1.2127,0.96801,0.96988,0.98799,0.63013,1.39241,0.48179,1.23081,0.00208,0.00208,0.00208
26,8186.16,1.35112,0.49725,1.2011,0.96282,0.97323,0.98727,0.6326,1.38721,0.47148,1.22401,0.00175,0.00175,0.00175
27,8498.3,1.33533,0.48395,1.19405,0.96975,0.97052,0.98887,0.63749,1.37938,0.46461,1.22145,0.00142,0.00142,0.00142
28,8812.41,1.32066,0.47118,1.18028,0.9712,0.96911,0.98788,0.63816,1.3779,0.45843,1.21605,0.00109,0.00109,0.00109
29,9122.32,1.30036,0.46107,1.16851,0.96681,0.97679,0.98898,0.63908,1.37771,0.45447,1.21395,0.00076,0.00076,0.00076
30,9436.77,1.28575,0.45174,1.16408,0.97065,0.97478,0.98985,0.64194,1.37577,0.45431,1.21398,0.00043,0.00043,0.00043
1,343.117,1.73437,1.47853,1.37337,0.79725,0.6969,0.79641,0.40887,1.62226,1.10743,1.30463,0.00333085,0.00333085,0.00333085
2,666.982,1.70796,1.11027,1.3105,0.805,0.73213,0.82385,0.40679,1.71279,1.09676,1.35991,0.0065982,0.0065982,0.0065982
3,1033.01,1.75963,1.18315,1.35331,0.78383,0.66765,0.77806,0.38586,1.72938,1.14836,1.44456,0.00979956,0.00979956,0.00979956
4,1346.66,1.76432,1.16764,1.38083,0.81391,0.7406,0.83484,0.42935,1.67858,1.0446,1.40375,0.009703,0.009703,0.009703
5,1672.07,1.71469,1.07401,1.35955,0.82978,0.8154,0.88162,0.46317,1.65722,0.90844,1.39913,0.009604,0.009604,0.009604
6,1984.91,1.67867,1.00201,1.34291,0.86874,0.81245,0.90166,0.48299,1.59446,0.87058,1.34805,0.009505,0.009505,0.009505
7,2337.78,1.65592,0.96088,1.3366,0.88289,0.84488,0.92426,0.50611,1.56364,0.82304,1.35977,0.009406,0.009406,0.009406
8,2648.4,1.63186,0.92587,1.3231,0.88294,0.86146,0.92997,0.51394,1.56389,0.78815,1.34714,0.009307,0.009307,0.009307
9,2974.04,1.61212,0.89171,1.30113,0.88971,0.8471,0.92749,0.52483,1.52734,0.78155,1.32916,0.009208,0.009208,0.009208
10,3291.39,1.59592,0.86412,1.29815,0.89277,0.83747,0.92778,0.51643,1.54047,0.77391,1.33553,0.009109,0.009109,0.009109
11,3642.74,1.58213,0.85056,1.28395,0.91829,0.89462,0.94966,0.54048,1.52331,0.69811,1.30387,0.00901,0.00901,0.00901
12,3961.45,1.57279,0.82548,1.28086,0.92896,0.89904,0.95648,0.55018,1.49941,0.67247,1.29917,0.008911,0.008911,0.008911
13,4313.44,1.56436,0.81318,1.27266,0.92802,0.90015,0.96258,0.55941,1.49882,0.6687,1.28494,0.008812,0.008812,0.008812
14,4632.19,1.55414,0.79502,1.26255,0.93246,0.91231,0.96111,0.55588,1.50512,0.65368,1.289,0.008713,0.008713,0.008713
15,4985.29,1.54144,0.78115,1.25991,0.93245,0.91746,0.96264,0.57071,1.47439,0.62188,1.2761,0.008614,0.008614,0.008614
