epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,13733.6,1.39453,0.59974,1.20642,0.97406,0.97273,0.99016,0.63969,1.37878,0.45844,1.24915,0.005842,0.005842,0.005842
44,14057.3,1.38906,0.59344,1.2005,0.97596,0.97212,0.99023,0.64087,1.37699,0.4562,1.24886,0.005743,0.005743,0.005743
45,14372.8,1.38258,0.59064,1.19956,0.97531,0.9731,0.99031,0.64217,1.37498,0.4536,1.24759,0.005644,0.005644,0.005644
46,14693.3,1.37828,0.58952,1.19541,0.97517,0.97347,0.99016,0.64279,1.37309,0.45152,1.24602,0.005545,0.005545,0.005545
47,15010.9,1.37701,0.58628,1.19527,0.97603,0.97525,0.99008,0.64367,1.3724,0.44995,1.24486,0.005446,0.005446,0.005446
48,15326.6,1.37631,0.58111,1.19402,0.97663,0.97458,0.98999,0.64404,1.37156,0.44953,1.24445,0.005347,0.005347,0.005347
49,15642.2,1.36698,0.57614,1.19034,0.97673,0.97421,0.99001,0.64464,1.37099,0.44776,1.24483,0.005248,0.005248,0.005248
50,15960.3,1.35744,0.57158,1.18443,0.97628,0.97494,0.99021,0.64445,1.37092,0.44677,1.24472,0.005149,0.005149,0.005149
51,16283.9,1.35948,0.56828,1.19006,0.97737,0.97568,0.99036,0.64575,1.36984,0.44546,1.24464,0.00505,0.00505,0.00505
52,16599.3,1.35914,0.57069,1.18688,0.97807,0.97568,0.99071,0.64681,1.36862,0.44479,1.24403,0.004951,0.004951,0.004951
53,16918.3,1.35472,0.56516,1.17973,0.97855,0.97472,0.99082,0.64723,1.3684,0.44375,1.24346,0.004852,0.004852,0.004852
54,17233.7,1.34037,0.56014,1.17757,0.97665,0.97716,0.99091,0.64727,1.36808,0.44196,1.24315,0.004753,0.004753,0.004753
55,17549.6,1.34569,0.55866,1.18129,0.97537,0.97746,0.99095,0.64818,1.36735,0.44119,1.24265,0.004654,0.004654,0.004654
56,17867.1,1.33986,0.55419,1.18056,0.97437,0.98047,0.99129,0.64834,1.36658,0.44012,1.24236,0.004555,0.004555,0.004555
57,18187.6,1.33415,0.55227,1.17731,0.97474,0.98096,0.99126,0.64921,1.36562,0.43965,1.24209,0.004456,0.004456,0.004456
58,18507.4,1.33731,0.54831,1.1755,0.97497,0.98195,0.99142,0.64929,1.36483,0.439,1.24172,0.004357,0.004357,0.004357
59,18827.9,1.32776,0.54789,1.17201,0.97413,0.98268,0.99144,0.64979,1.36467,0.43853,1.24174,0.004258,0.004258,0.004258
60,19143.6,1.32901,0.54208,1.16755,0.9744,0.98231,0.9914,0.64991,1.36361,0.43817,1.24097,0.004159,0.004159,0.004159
61,19460.5,1.31739,0.53805,1.1628,0.97436,0.98022,0.99145,0.65034,1.36343,0.43757,1.24081,0.00406,0.00406,0.00406
62,19777.5,1.31667,0.54029,1.16444,0.9747,0.97939,0.9915,0.65074,1.36337,0.43688,1.2406,0.003961,0.003961,0.003961
63,20093.1,1.32381,0.5366,1.16932,0.97469,0.97908,0.99146,0.65062,1.3629,0.43609,1.24012,0.003862,0.003862,0.003862
64,20410.5,1.3146,0.53188,1.16196,0.97612,0.97908,0.9916,0.65126,1.36294,0.4355,1.24003,0.003763,0.003763,0.003763
65,20727,1.306,0.52979,1.1539,0.97541,0.97941,0.99146,0.65159,1.36265,0.43487,1.23964,0.003664,0.003664,0.003664
66,21051.4,1.29997,0.52413,1.15712,0.9762,0.97937,0.99163,0.65189,1.36241,0.43406,1.23942,0.003565,0.003565,0.003565
67,21375.7,1.2981,0.52155,1.15087,0.97647,0.97973,0.9917,0.65297,1.36187,0.43348,1.23866,0.003466,0.003466,0.003466
68,21698.5,1.2881,0.51634,1.1485,0.97442,0.98262,0.99172,0.65349,1.36144,0.43268,1.23817,0.003367,0.003367,0.003367
69,22014,1.28763,0.51637,1.13964,0.97502,0.98268,0.99177,0.65308,1.36109,0.43203,1.23727,0.003268,0.003268,0.003268
70,22332.6,1.28963,0.51391,1.14223,0.97444,0.98318,0.99181,0.65317,1.3608,0.43161,1.23688,0.003169,0.003169,0.003169
71,22648.2,1.28386,0.50876,1.13856,0.97422,0.98305,0.99191,0.65463,1.36038,0.43104,1.23619,0.00307,0.00307,0.00307
72,22969.9,1.27773,0.50599,1.1348,0.97528,0.98195,0.992,0.65461,1.36031,0.43062,1.2356,0.002971,0.002971,0.002971
73,23288.3,1.27457,0.50579,1.13971,0.97584,0.9821,0.99204,0.65547,1.36005,0.4302,1.23533,0.002872,0.002872,0.002872
74,23612.6,1.26357,0.5049,1.13864,0.97582,0.98133,0.99223,0.65532,1.35947,0.42897,1.23499,0.002773,0.002773,0.002773
75,23928,1.26619,0.49828,1.13476,0.9765,0.98195,0.9923,0.65584,1.359,0.42801,1.23471,0.002674,0.002674,0.002674
76,24245.7,1.26155,0.49473,1.12898,0.9769,0.98231,0.99236,0.65704,1.35842,0.42714,1.23411,0.002575,0.002575,0.002575
77,24561.3,1.25411,0.49036,1.1278,0.9773,0.98121,0.9924,0.65701,1.35825,0.42666,1.23364,0.002476,0.002476,0.002476
78,24883,1.24638,0.48958,1.12167,0.9784,0.98121,0.99242,0.65781,1.35778,0.42587,1.23295,0.002377,0.002377,0.002377
79,25198.5,1.24459,0.48571,1.11969,0.97655,0.98197,0.99246,0.6584,1.35751,0.42482,1.23233,0.002278,0.002278,0.002278
80,25518.9,1.24148,0.48377,1.1223,0.97656,0.98257,0.99246,0.65813,1.35715,0.42394,1.23193,0.002179,0.002179,0.002179
81,25839.2,1.22963,0.48172,1.11665,0.97726,0.98165,0.99249,0.65842,1.35686,0.42353,1.23144,0.00208,0.00208,0.00208
82,26159.5,1.23782,0.47793,1.11691,0.97763,0.98204,0.99254,0.65847,1.35671,0.42297,1.23095,0.001981,0.001981,0.001981
83,26474.9,1.22841,0.47478,1.11249,0.978,0.98271,0.99261,0.65937,1.35652,0.42207,1.23025,0.001882,0.001882,0.001882
84,26791.1,1.22238,0.47213,1.11029,0.97802,0.98356,0.99266,0.65959,1.35617,0.42201,1.22972,0.001783,0.001783,0.001783
85,27109.7,1.21667,0.47119,1.1069,0.9786,0.98158,0.99262,0.6599,1.35578,0.42126,1.22866,0.001684,0.001684,0.001684
86,27425.3,1.21029,0.4663,1.10056,0.97935,0.98158,0.99267,0.66091,1.35557,0.42042,1.22787,0.001585,0.001585,0.001585
87,27745,1.20942,0.46559,1.10931,0.97999,0.98121,0.99271,0.66215,1.35515,0.41993,1.22753,0.001486,0.001486,0.001486
88,28062,1.20251,0.46019,1.1063,0.97953,0.98158,0.99273,0.66213,1.35482,0.41901,1.22721,0.001387,0.001387,0.001387
89,28385.8,1.19709,0.45787,1.10281,0.98051,0.98158,0.99281,0.66264,1.35433,0.41833,1.22687,0.001288,0.001288,0.001288
90,28704,1.19659,0.45538,1.09899,0.98013,0.98163,0.99286,0.66317,1.35399,0.41775,1.22631,0.001189,0.001189,0.001189
91,29056.6,1.1701,0.39085,1.11626,0.9808,0.98195,0.99288,0.66355,1.35313,0.41748,1.22547,0.00109,0.00109,0.00109
92,29377.5,1.15415,0.38487,1.10891,0.98086,0.98213,0.9929,0.66429,1.35279,0.41694,1.22476,0.000991,0.000991,0.000991
93,29693.6,1.1453,0.3821,1.10782,0.98064,0.98268,0.99306,0.66397,1.35203,0.41619,1.22371,0.000892,0.000892,0.000892
94,30010.9,1.14028,0.38037,1.10355,0.98051,0.9826,0.99287,0.66434,1.35169,0.41525,1.22325,0.000793,0.000793,0.000793
95,30335.6,1.13178,0.37653,1.0996,0.98049,0.98146,0.99285,0.66438,1.3513,0.41474,1.22284,0.000694,0.000694,0.000694
96,30656.6,1.12546,0.3742,1.09434,0.9797,0.98231,0.9929,0.66452,1.35095,0.41401,1.22239,0.000595,0.000595,0.000595
97,30981.3,1.11765,0.36998,1.09545,0.97873,0.98336,0.99294,0.66431,1.35058,0.41346,1.22193,0.000496,0.000496,0.000496
98,31297.1,1.11238,0.36797,1.09016,0.97874,0.98377,0.99294,0.66522,1.3499,0.41282,1.22138,0.000397,0.000397,0.000397
99,31612.8,1.10644,0.36643,1.08841,0.97804,0.98457,0.99295,0.66583,1.34979,0.41173,1.221,0.000298,0.000298,0.000298
100,31933.5,1.09942,0.3632,1.08414,0.97887,0.98416,0.99299,0.66617,1.34954,0.41146,1.22053,0.000199,0.000199,0.000199
